teacher_id;class_id;subject;academic_year;semester
G-23;8B;BAHASA INDONESIA;2025/2026;1
G-23;8C;BAHASA INDONESIA;2025/2026;1
G-23;8D;BAHASA INDONESIA;2025/2026;1
G-23;8E;BAHASA INDONESIA;2025/2026;1
G-23;8F;BAHASA INDONESIA;2025/2026;1
G-24;9A;MATEMATIKA;2025/2026;1
G-24;9B;MATEMATIKA;2025/2026;1
G-24;9C;MATEMATIKA;2025/2026;1
G-24;9D;MATEMATIKA;2025/2026;1
G-24;9E;MATEMATIKA;2025/2026;1
G-24;9F;MATEMATIKA;2025/2026;1
G-25;;BP/BK;2025/2026;1
G-26;7A;BAHASA INDONESIA;2025/2026;1
G-26;7B;BAHASA INDONESIA;2025/2026;1
G-26;8A;BAHASA INDONESIA;2025/2026;1
G-26;8B;BAHASA INDONESIA;2025/2026;1
G-26;9A;INFORMATIKA;2025/2026;1
G-26;9B;INFORMATIKA;2025/2026;1
G-27;7A;ILMU PENGETAHUAN ALAM;2025/2026;1
G-27;7B;ILMU PENGETAHUAN ALAM;2025/2026;1
G-28;8D;ILMU PENGETAHUAN SOSIAL;2025/2026;1
G-28;8E;ILMU PENGETAHUAN SOSIAL;2025/2026;1
G-28;8F;ILMU PENGETAHUAN SOSIAL;2025/2026;1
G-28;9A;ILMU PENGETAHUAN SOSIAL;2025/2026;1
G-28;9B;ILMU PENGETAHUAN SOSIAL;2025/2026;1
G-28;9C;ILMU PENGETAHUAN SOSIAL;2025/2026;1
G-28;9D;ILMU PENGETAHUAN SOSIAL;2025/2026;1
G-28;9E;ILMU PENGETAHUAN SOSIAL;2025/2026;1
G-28;9F;ILMU PENGETAHUAN SOSIAL;2025/2026;1
G-29;7A;INFORMATIKA;2025/2026;1
G-29;7B;INFORMATIKA;2025/2026;1
G-29;8A;INFORMATIKA;2025/2026;1
G-29;8B;INFORMATIKA;2025/2026;1
G-29;8C;INFORMATIKA;2025/2026;1
G-29;8D;INFORMATIKA;2025/2026;1
G-29;8E;INFORMATIKA;2025/2026;1
G-29;8F;INFORMATIKA;2025/2026;1
G-29;7A;KODING & AI;2025/2026;1
G-29;7B;KODING & AI;2025/2026;1
G-29;7C;KODING & AI;2025/2026;1
G-29;7D;KODING & AI;2025/2026;1
G-29;7E;KODING & AI;2025/2026;1
G-29;7F;KODING & AI;2025/2026;1
G-29;8A;KODING & AI;2025/2026;1
G-29;8B;KODING & AI;2025/2026;1
G-29;8C;KODING & AI;2025/2026;1
G-29;8D;KODING & AI;2025/2026;1
G-29;8E;KODING & AI;2025/2026;1
G-29;8F;KODING & AI;2025/2026;1
G-30;;BP/BK;2025/2026;1
