id;teacher_id;class_id;subject;academic_year;semester;created_at
6f06ac6e-3ca2-4e9d-ab63-ba178674614f;G-16;8D;ILMU PENGETAHUAN ALAM;2025/2026;1;2025-09-20 05:45:42.601363+00
722b3361-8e80-43a0-8f82-c38de58fcd3a;G-13;7D;BAHASA INGGRIS;2025/2026;1;2025-09-20 05:45:42.601363+00
72cf1971-58e7-4e9e-bd37-04df402838f5;G-06;7C;PENDIDIKAN PANCASILA;2025/2026;1;2025-09-20 05:45:42.601363+00
745e6e85-7e69-49bc-b0b2-c320c6fe5df3;G-06;7A;PENDIDIKAN PANCASILA;2025/2026;1;2025-09-20 05:45:42.601363+00
756d68f2-0fa0-4456-ab2b-704c5dcc2c05;G-21;8A;PJOK;2025/2026;1;2025-09-20 05:45:42.601363+00
76849150-19c6-41e9-a41c-3d915a2c6bb1;G-16;8E;ILMU PENGETAHUAN ALAM;2025/2026;1;2025-09-20 05:45:42.601363+00
78ec3612-5c68-433e-b4e5-43a557f4fb02;G-10;9F;BAHASA INGGRIS;2025/2026;1;2025-09-20 05:45:42.601363+00
79d60abd-3228-4f55-9f9f-122ad966fb83;G-04;8A;ILMU PENGETAHUAN SOSIAL;2025/2026;1;2025-09-20 05:45:42.601363+00
7c2f7fa5-a30b-432c-9c03-46b6bee3990c;G-08;9E;PENDIDIKAN PANCASILA;2025/2026;1;2025-09-20 05:45:42.601363+00
7df714fe-2a0e-4c31-b170-51c99bc48817;G-04;8C;ILMU PENGETAHUAN SOSIAL;2025/2026;1;2025-09-20 05:45:42.601363+00
7e6f975a-d8a2-4ee1-822c-278050aa3bfc;G-02;8B;BAHASA SUNDA;2025/2026;1;2025-09-20 05:45:42.601363+00
7eaf3889-8b0b-4fd8-b320-dd12120986dc;G-20;9E;SENI RUPA;2025/2026;1;2025-09-20 05:45:42.601363+00
8061fcc0-6e5d-4f7b-b59a-c1116d05ca1c;G-03;9C;PJOK;2025/2026;1;2025-09-20 05:45:42.601363+00
80a8b4e9-5fcf-43a5-83f3-aef4188aae3d;G-20;7A;SENI RUPA;2025/2026;1;2025-09-20 05:45:42.601363+00
83ad1f17-d739-4c3b-b549-387ae11d5536;G-29;7F;KODING & AI;2025/2026;1;2025-09-20 05:45:42.601363+00
86faa38e-eeaf-436d-9450-f94080bbd570;G-09;9B;ILMU PENGETAHUAN ALAM;2025/2026;1;2025-09-20 05:45:42.601363+00
8719899a-fdae-4b95-b0e2-592da751a213;G-12;7F;BAHASA INGGRIS;2025/2026;1;2025-09-20 05:45:42.601363+00
873e5ecb-2e79-49cb-8a87-cd45280022e8;G-11;9E;PENDIDIKAN AGAMA ISLAM;2025/2026;1;2025-09-20 05:45:42.601363+00
88aac94d-2b4a-476e-9a46-5e3a4e16011d;G-23;8D;BAHASA INDONESIA;2025/2026;1;2025-09-20 05:45:42.601363+00
8bd58a16-2421-4f10-af02-7d04e2f456d3;G-29;7A;INFORMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
8c6b25a3-ebb9-460a-9916-646f5a40e6ad;G-29;8D;INFORMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
8c763e22-2a99-45c9-b8b3-295d5ec79681;G-10;9C;BAHASA INGGRIS;2025/2026;1;2025-09-20 05:45:42.601363+00
8ccd45d4-e628-46d7-9e76-2603d13ad954;G-23;8A;BAHASA INDONESIA;2025/2026;1;2025-09-20 05:45:42.601363+00
8d5922b0-a44b-4ac6-af1e-ce9f924384d0;G-21;9D;INFORMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
8d7d1991-9741-4385-b058-9abeb52c39cd;G-09;9A;ILMU PENGETAHUAN ALAM;2025/2026;1;2025-09-20 05:45:42.601363+00
8e76c7f8-7b4f-4e2d-828a-a983fc623c5d;G-02;9F;BAHASA SUNDA;2025/2026;1;2025-09-20 05:45:42.601363+00
9098244a-ff24-426d-903b-937eb815d8ea;G-11;7E;PENDIDIKAN AGAMA ISLAM;2025/2026;1;2025-09-20 05:45:42.601363+00
90eae1ab-08a0-4368-8c6e-4a2c885cbc79;G-20;9C;SENI RUPA;2025/2026;1;2025-09-20 05:45:42.601363+00
916d25e1-6209-4da5-8049-5b1b75742dc9;G-02;9D;BAHASA SUNDA;2025/2026;1;2025-09-20 05:45:42.601363+00
93756877-0432-4f61-a1c7-b399ac1ad407;G-21;9C;INFORMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
9527f61d-a0fb-493f-90ee-4d09badcb98e;G-14;7E;MATEMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
9603780e-962f-4684-bdf0-71a8a554a9d8;G-21;8C;PJOK;2025/2026;1;2025-09-20 05:45:42.601363+00
97d62c67-c839-4d41-bedb-2225e7573264;G-07;8B;PENDIDIKAN AGAMA ISLAM;2025/2026;1;2025-09-20 05:45:42.601363+00
9811aa1c-2a09-4b0d-9812-1a4037953328;G-05;8D;MATEMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
985c266f-df20-4a4d-a51a-e7005f7b1e7a;G-15;7C;BAHASA INDONESIA;2025/2026;1;2025-09-20 05:45:42.601363+00
99547487-a462-4c29-8dca-d9c4c3d8a010;G-23;8E;BAHASA INDONESIA;2025/2026;1;2025-09-20 05:45:42.601363+00
9a6edced-ecc1-49cc-85c5-f3e92c9c5b12;G-14;7D;MATEMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
9b85e80e-e450-4cc0-86b7-7c4908ba9e34;G-08;9A;PENDIDIKAN PANCASILA;2025/2026;1;2025-09-20 05:45:42.601363+00
9bf66358-ddfe-47dd-98ac-0a5454eab33d;G-20;7B;SENI RUPA;2025/2026;1;2025-09-20 05:45:42.601363+00
9dcc4f68-767e-4312-8530-029277533e54;G-17;9A;BAHASA INDONESIA;2025/2026;1;2025-09-20 05:45:42.601363+00
9f0bf545-2cd3-4ff4-a696-38696813f9e4;G-03;7B;PJOK;2025/2026;1;2025-09-20 05:45:42.601363+00
9f38cc19-6c01-43f4-9ed7-4b5b29668dd0;G-07;8F;PENDIDIKAN AGAMA ISLAM;2025/2026;1;2025-09-20 05:45:42.601363+00
9fde8002-79e9-4c99-89a2-22b0a8de431e;G-24;9C;MATEMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
